wavenumber, 25C 0_ MeOH, 25C 20MeOH 1WEEK, 50C 0_ MeOH 4WEEK, 50C 0_MeOH 1WEEK, 50C 10_MeOH 4WEEK, 50C 20MeOH 1WEEK, 50C 20_MeOH 4WEEK, 80C 0_ MeOH 4WEEK, 80C 0_MeOH 1WEEK, 80C 10MeOH 4WEEK, 80C 10_MeOH 1WEEK, 80C 20_MeOH 1WEEK, 80C 20_MeOH 4WEEK
701.9619,0.3158934,0.3157951,0.3159519,0.316895,0.3186519,0.3148986,0.317151,0.3177469,0.3161469,0.3179337,0.3165466,0.3145554,0.3183406
703.8904,0.3128323,0.3139753,0.3127527,0.315018,0.3168778,0.3128008,0.314736,0.3143605,0.3136939,0.3153299,0.3153239,0.3119361,0.3163536
705.8188,0.310793,0.311986,0.3098359,0.3122874,0.3158085,0.3109781,0.3122111,0.3119304,0.3125895,0.3132856,0.3130432,0.3100277,0.3127633
707.7473,0.3084339,0.3093826,0.3067389,0.3090994,0.3137911,0.3099779,0.3096429,0.3097336,0.3109625,0.3101361,0.3107065,0.307484,0.3088913
709.6758,0.3059874,0.3084674,0.3039124,0.3069628,0.3114339,0.3076543,0.3064351,0.3071526,0.3076224,0.3071299,0.3083877,0.3053677,0.3056016
711.6042,0.3034759,0.3072233,0.3010416,0.3050901,0.3082134,0.3048598,0.3028479,0.3045398,0.3044885,0.3055286,0.3052528,0.3041479,0.3039349
713.5327,0.3012635,0.3044727,0.2996381,0.3021634,0.3055187,0.3008879,0.3005778,0.3019877,0.3017076,0.3026962,0.3026285,0.300831,0.3021728
715.4612,0.2992218,0.3013431,0.2978346,0.2987992,0.3029988,0.2986965,0.2996188,0.3003363,0.299201,0.300845,0.3001789,0.2971762,0.3002293
717.3896,0.294492,0.297643,0.2958184,0.2949332,0.2991753,0.2953989,0.2973432,0.2969491,0.2957616,0.2977492,0.2967906,0.2937901,0.2957767
719.3181,0.2892187,0.291976,0.2932027,0.2900759,0.2934756,0.2898409,0.2922495,0.2907829,0.2901916,0.2918078,0.2919012,0.2892636,0.2907378
721.2466,0.2876466,0.2895461,0.2898383,0.2876304,0.2911681,0.2885568,0.2887943,0.2878484,0.287013,0.2896556,0.289989,0.2876635,0.289176
723.175,0.2872084,0.2890406,0.286503,0.2864188,0.2903652,0.2885151,0.2889538,0.2874242,0.2864695,0.2891013,0.2896984,0.2872556,0.2879644
725.1035,0.2842195,0.285497,0.2847931,0.2837135,0.2879604,0.2848888,0.2866606,0.2846937,0.2840662,0.2854454,0.2862155,0.2850884,0.2851247
