wavenumber, 25C 0_ MeOH, 25C 20MeOH 1WEEK, 50C 0_ MeOH 1WEEK, 50C 0_MeOH 4WEEK, 50C 10MeOH 4WEEK, 50C 20MeOH 1WEEK, 50C 20MeOH 4WEEK, 80C 0_MeOH  4WEEK, 80C 0_MeOH 1WEEK, 80C 10MeOH 1WEEK, 80C 10_MeOH 4WEEK, 80C 20ME 1WEEK, 80C 20MeOH 1WEEK, 80C 20_MeOH 4WEEK
713.5327,0.2026798,0.1613292,0.1476454,0.1602238,0.1216747,0.1189502,0.1115761,0.1983928,0.1498626,0.155271,0.263707,0.09479847,0.09479847,0.2305077
715.4612,0.2022169,0.1595669,0.1479977,0.1589416,0.1209969,0.1170445,0.1121872,0.1974195,0.1513534,0.1534129,0.2621596,0.09410913,0.09410913,0.2296234
717.3896,0.2004184,0.1598837,0.1485676,0.1585239,0.1210244,0.116813,0.1116208,0.1952956,0.1525939,0.1525419,0.2586523,0.094865,0.094865,0.2274563
719.3181,0.1977755,0.1604666,0.1492787,0.1569249,0.1219726,0.1172246,0.1113644,0.1918536,0.154189,0.1513421,0.2554519,0.09567566,0.09567566,0.2249343
721.2466,0.197232,0.1602519,0.1494425,0.1564622,0.1226402,0.11733,0.1114346,0.1909481,0.1553455,0.1508741,0.2555518,0.0952915,0.0952915,0.2238519
723.175,0.1974056,0.1611207,0.149877,0.1574394,0.1231849,0.117289,0.1111886,0.1911313,0.1554799,0.1508038,0.2557637,0.09533511,0.09533511,0.2235829
725.1035,0.1969795,0.1616076,0.1502818,0.1575889,0.1239328,0.1175478,0.1120416,0.1906366,0.1558029,0.1494304,0.2545132,0.0965017,0.0965017,0.2230444
727.032,0.1971709,0.1619087,0.1502648,0.1578323,0.1246331,0.1186291,0.1138069,0.1912295,0.1567859,0.14978,0.2535732,0.09723518,0.09723518,0.222783
728.9604,0.197901,0.1626338,0.1502596,0.1580251,0.1246853,0.1203887,0.1154903,0.1906056,0.1579008,0.1503427,0.2523551,0.09727962,0.09727962,0.2222632
730.8889,0.1979422,0.1633836,0.1511472,0.1572674,0.1254309,0.1208088,0.1166036,0.1892422,0.1593121,0.1497629,0.2506788,0.09758423,0.09758423,0.2213116
732.8174,0.1974541,0.1634285,0.1511108,0.1563886,0.1265813,0.1203891,0.1170149,0.1885443,0.1616045,0.1487251,0.2484997,0.09804194,0.09804194,0.220562
734.7458,0.1964506,0.1632956,0.1512067,0.1569524,0.1261842,0.1207585,0.1160623,0.1883725,0.1638571,0.1480924,0.2474238,0.09811636,0.09811636,0.2201924
736.6743,0.196168,0.1639484,0.1519067,0.1571826,0.126464,0.121432,0.1157734,0.1883303,0.1653679,0.147071,0.246515,0.09780489,0.09780489,0.2184501
738.6028,0.1967537,0.1650542,0.1530596,0.1566235,0.1270875,0.1225416,0.1162451,0.187909,0.1668061,0.1460538,0.2454339,0.09855907,0.09855907,0.2180842
740.5313,0.1972237,0.1671664,0.1546727,0.1567955,0.1280724,0.123738,0.1165024,0.1869278,0.1683766,0.1458243,0.2432604,0.09952711,0.09952711,0.2174147
742.4597,0.1974755,0.1690088,0.1559462,0.1574122,0.1293167,0.1250629,0.1175404,0.1873051,0.1695513,0.1461228,0.2423505,0.09938396,0.09938396,0.2164216
744.3882,0.1976557,0.1706612,0.157217,0.1580904,0.1297303,0.1263718,0.1193386,0.1880475,0.1709224,0.1468898,0.2415904,0.09999345,0.09999345,0.2155911
746.3167,0.1986701,0.1726318,0.1587832,0.1585389,0.1302478,0.1279342,0.1202725,0.188689,0.1719708,0.1480886,0.2403556,0.1005973,0.1005973,0.2155028
748.2451,0.1992156,0.1737094,0.160254,0.1585737,0.1305754,0.1293296,0.1204519,0.189106,0.1724866,0.1489213,0.2392439,0.1013756,0.1013756,0.2156161
750.1736,0.1990111,0.1736295,0.1608496,0.1587348,0.1311014,0.128827,0.1203834,0.1891132,0.1737723,0.14926,0.238553,0.1011902,0.1011902,0.2150578
752.1021,0.197416,0.1733074,0.1600762,0.1593222,0.1306089,0.1283285,0.1200722,0.1879744,0.1760247,0.1495669,0.2367999,0.1016744,0.1016744,0.2129442
754.0305,0.1958907,0.1731332,0.159775,0.1591998,0.1300806,0.128608,0.1203855,0.1874365,0.1788607,0.1491873,0.234901,0.1015076,0.1015076,0.2108512
755.959,0.1953411,0.1732832,0.1592434,0.1579143,0.1305127,0.12808,0.1199829,0.1862403,0.182663,0.1490944,0.2328233,0.1008516,0.1008516,0.2102891
757.8875,0.1933962,0.1719776,0.1574109,0.1566079,0.1301344,0.1269314,0.1191266,0.1846219,0.1860968,0.1493562,0.230617,0.1005161,0.1005161,0.2084235
759.8159,0.1913943,0.1695049,0.1553948,0.1548071,0.1279016,0.1257809,0.1180618,0.1831074,0.1887113,0.1481638,0.2294743,0.1003387,0.1003387,0.2064136
761.7444,0.1896678,0.1676436,0.153982,0.1538708,0.1264252,0.1242961,0.1172716,0.180533,0.1913453,0.1469802,0.2281346,0.09911787,0.09911787,0.2050546
763.6729,0.186806,0.1670556,0.15315,0.1539198,0.1258942,0.123919,0.1166475,0.179498,0.1950678,0.1467267,0.2257947,0.09871958,0.09871958,0.2029518
765.6013,0.1848218,0.1663107,0.1522851,0.1534333,0.1254953,0.1243089,0.1165512,0.179314,0.1981046,0.1463244,0.2241061,0.09843345,0.09843345,0.2010245
767.5298,0.1838843,0.165389,0.1520298,0.1521877,0.1249312,0.1239184,0.1156493,0.1785606,0.2009172,0.1463227,0.2221301,0.09840661,0.09840661,0.199476
769.4583,0.1831895,0.1652185,0.1517497,0.1515634,0.1241974,0.1224459,0.1152882,0.1778882,0.2049006,0.1464849,0.2201353,0.09821547,0.09821547,0.1985395
771.3867,0.1817816,0.1653556,0.1513919,0.1512199,0.1233696,0.121922,0.1149348,0.1765,0.2093033,0.14591,0.217973,0.09766746,0.09766746,0.1969355
773.3152,0.1796494,0.1650899,0.1508811,0.1504846,0.123891,0.1224609,0.1148001,0.1748156,0.2139167,0.1449656,0.215071,0.09797446,0.09797446,0.1952474
775.2437,0.1786083,0.1646116,0.1501821,0.1493324,0.1237818,0.1225722,0.1156469,0.1736748,0.2186995,0.1442884,0.2128141,0.09813588,0.09813588,0.1934195
777.1721,0.1779116,0.1651044,0.1500941,0.1484872,0.1237506,0.1224452,0.116326,0.1723775,0.2233435,0.1448499,0.2121187,0.09832947,0.09832947,0.1919864
779.1006,0.1774501,0.1659705,0.1512671,0.1486269,0.1252345,0.1233615,0.1166487,0.1715788,0.2268337,0.1452349,0.2114458,0.09885914,0.09885914,0.1914597
781.0291,0.1769786,0.1659383,0.1521459,0.1485223,0.1259619,0.1250809,0.1169919,0.1717079,0.2285559,0.1454971,0.2094941,0.09810448,0.09810448,0.1899914
782.9575,0.1755485,0.1661221,0.1530127,0.1470844,0.1252133,0.1256213,0.1170396,0.1703994,0.2274054,0.1446722,0.2072644,0.09715287,0.09715287,0.1880203
784.886,0.1745353,0.1664224,0.1532785,0.1458713,0.1242735,0.1247709,0.1170228,0.1681366,0.2230493,0.1431094,0.2050511,0.0974922,0.0974922,0.1865087
786.8145,0.1745386,0.1660069,0.1526901,0.145264,0.1243978,0.1246582,0.1172516,0.1664429,0.2169783,0.1410175,0.2026799,0.09799609,0.09799609,0.1855657
788.7429,0.1739661,0.1655338,0.1528926,0.1443194,0.1246154,0.125268,0.1168585,0.1648219,0.2111913,0.1385312,0.2004676,0.09792684,0.09792684,0.1842073
790.6714,0.1728277,0.1650382,0.1531278,0.1425195,0.1240822,0.1248148,0.1167182,0.1629617,0.2056152,0.1362208,0.1979636,0.09732754,0.09732754,0.1818085
792.5999,0.1701273,0.1631436,0.1515702,0.141301,0.1238973,0.1237428,0.1159906,0.160605,0.2004547,0.1343009,0.194678,0.09600503,0.09600503,0.1786457
794.5283,0.1673862,0.1622018,0.149779,0.1400893,0.1242898,0.1216093,0.113807,0.1592838,0.197285,0.1339652,0.1915109,0.09387928,0.09387928,0.1755359
796.4568,0.1660835,0.1613202,0.149181,0.1380612,0.1233207,0.1204238,0.112647,0.1581096,0.1947021,0.1347497,0.1903962,0.0919839,0.0919839,0.17333
798.3853,0.1644421,0.1593086,0.1487967,0.1366097,0.1209806,0.1208271,0.1119437,0.1566233,0.1925059,0.1356377,0.1900391,0.09196047,0.09196047,0.1720153
800.3137,0.1637909,0.1591175,0.1473752,0.1367404,0.1212077,0.1208784,0.1120638,0.1565299,0.1908836,0.1372043,0.1883552,0.09245615,0.09245615,0.1706354
802.2422,0.1636548,0.1601845,0.1472093,0.1381709,0.1230421,0.121277,0.1134538,0.1573231,0.188049,0.139216,0.186893,0.09394583,0.09394583,0.1704899
804.1707,0.1650863,0.1614627,0.1506476,0.1399393,0.1239801,0.1229912,0.114947,0.1583478,0.1851642,0.1419762,0.1862203,0.0961445,0.0961445,0.1719245
806.0991,0.167893,0.1650218,0.1542844,0.1417304,0.1255421,0.1245244,0.1159289,0.1601366,0.1830824,0.1456246,0.1858614,0.09782548,0.09782548,0.1711015
808.0276,0.169656,0.1689628,0.1571457,0.1447488,0.1284757,0.1273904,0.117942,0.1612372,0.1809124,0.1483943,0.1860174,0.09848653,0.09848653,0.1707322
809.9561,0.1702727,0.1717985,0.1591714,0.146421,0.1299026,0.129652,0.1205129,0.1610292,0.1790736,0.1482906,0.1853229,0.09912948,0.09912948,0.1711343
811.8845,0.1712445,0.1741489,0.159948,0.1450972,0.1314498,0.1312559,0.1224766,0.1611226,0.1776005,0.148717,0.1840367,0.1007632,0.1007632,0.1708942
813.813,0.1713562,0.1751931,0.1602191,0.1446622,0.1330798,0.1324496,0.1228204,0.1615554,0.1761486,0.1485,0.1823718,0.1019187,0.1019187,0.1700523
815.7415,0.1717611,0.1748687,0.1603673,0.1447916,0.1337988,0.1331974,0.1226992,0.1601573,0.175932,0.1467698,0.1816816,0.1011347,0.1011347,0.1700813
817.6699,0.1716779,0.1744957,0.1599196,0.144207,0.1329084,0.1330426,0.1245423,0.1581254,0.1763329,0.1459282,0.1803729,0.1013726,0.1013726,0.1692704
819.5984,0.1694504,0.1748839,0.1594188,0.1438368,0.1313851,0.1321448,0.1240179,0.1572015,0.1770422,0.1452096,0.1773188,0.1018268,0.1018268,0.167554
821.5269,0.1665549,0.1744123,0.1580456,0.144233,0.1304403,0.1320056,0.1209658,0.1564642,0.178053,0.1464632,0.1751751,0.1015352,0.1015352,0.1656036
823.4553,0.1639591,0.1726855,0.1557156,0.1439021,0.1295649,0.1306062,0.1190508,0.1557747,0.1782754,0.1473856,0.1744418,0.1005069,0.1005069,0.1640263
825.3838,0.1617568,0.1696952,0.154062,0.1433396,0.1287229,0.1282992,0.1183055,0.1550264,0.1777698,0.1479718,0.1724286,0.09987292,0.09987292,0.1628601
827.3123,0.1603976,0.1665,0.1528625,0.1422809,0.1277231,0.1259558,0.1166038,0.1539942,0.177279,0.1479422,0.1706239,0.09952386,0.09952386,0.1612571
829.2407,0.1589906,0.1639495,0.1505363,0.1409512,0.125961,0.1236098,0.1147303,0.1544057,0.1769923,0.146836,0.1690725,0.09875564,0.09875564,0.1592412
